abbrev,full_name,auction_name
A Capsey,Alice Capsey,Alice Capsey
A Gardner,Ashleigh Katherine Gardner,Ashleigh Gardner
A King,Alana Maria King,Alana King
A Reddy,Arundhati Reddy,Arundhati Reddy
A Soni,Ayushi Soni,Ayushi Soni
A Sutherland,Annabel Sutherland,Annabel Sutherland
AB Kaur,Amanjot Bhupinder Kaur,Amanjot Kaur
AB Sharma,Anushka Sharma,Anushka Sharma
AC Jayangani,Athapaththu Mudiyanselage Chamari Jayangani Kumai Athapaththu,Chamari Athapaththu
AC Kerr,Amelia Charlotte Kerr,Melie Kerr
AE Jones,Amy Ellen Jones,Amy Jones
AJ Healy,Alyssa Jean Healy,Alyssa Healy
Arushi Goel,Arushi Goel,Arushi Goel
Ashwani Kumari,Ashwani Kumari,Ashwani Kumari
BL Mooney,Bethany Louise Mooney,Beth Mooney
BS Fulmali,Bharti Shrikrushna Fulmali,Bharti Fulmali
CA Henry,Chinelle Akhalia Henry,Chinelle Henry
CE Dean,Charlotte Ellen Dean,
CL Tryon,Chloe-Lesleigh  Tryon,Chloe Tryon
CR Knott,CR Knott,Charli Knott
D Hemalatha,Dayalan Hemalatha,Dayalan Hemalatha
D Vrinda,Dinesh Vrinda,Dinesh Vrinda
DB Sharma,Deepti Bhagwan Sharma,Deepti Sharma
DD Kasat,Disha Deepak Kasat,Disha Kasat
DJS Dottin,Deandra Jalisa Shakira Dottin,Deandra Dottin
DN Wyatt-Hodge,Danielle Nicole Wyatt-Hodge,Danni Wyatt-Hodge
DP Vaidya,Devika Purnendu Vaidya,Devika Vaidya
DR Gibson,Danielle Rose Gibson,Dani Gibson
DV Gujjar,Dhara Vijay Gujjar,Dhara Gujjar
Deeya Yadav,Deeya Yadav,Deeya Yadav
E Bisht,Ekta Bisht,Ekta Bisht
EA Burns,Erin Alexandra Burns,Erin Burns
EA Perry,Ellyse Alexandra Perry,Ellyse Perry
G Kamalini,G Kamalini,Gunalan Kamalini
G Sultana,Gouher Sultana,Gouher Sultana
G Voll,Georgia Voll,Georgia Voll
G Wareham,Georgia Wareham,Georgia Wareham
GJ Naik,Gautami Naik,Gautami Naik
GM Harris,Grace Margaret Harris,Grace Harris
H Deol,Harleen Deol,Harleen Deol
H Graham,Heather Graham,Heather Graham
H Kaur,Harmanpreet Kaur,Harmanpreet Kaur
HC Knight,Heather Clare Knight,Heather Knight
HK Matthews,Hayley Kristen Matthews,Hayley Matthews
HY Kazi,Humaira Yusufamir Kazi,Humaira Kazi
Happy Kumari,Happy Kumari,Happy Kumari
IECM Wong,Isabelle Eleanor Chih Ming Wong,Issy Wong
JI Rodrigues,Jemimah Ivan Rodrigues,Jemimah Rodrigues
JL Jonassen,Jessica Louise Jonassen,Jess Jonassen
JN Kalita,Jintimani Nakul Kalita,Jintimani Kalita
K Anjali Sarvani,Kesavarajugari Anjali Sarvani,Anjali Sarvani
K Goud,Kranti Goud,Kranti Gaud
KE Bryce,Kathryn Emma Bryce,Kathryn Bryce
KJ Garth,Kimberley Jennifer Garth,Kim Garth
KP Navgire,Kiran Prabhu Navgire,Kiran Navgire
KS Ahuja,Kanika S Ahuja,Kanika Ahuja
KS Gautam,Kashvee Sudesh Gautam,Kashvee Gautam
Komal Zanzad,Komal Ravindra Zanzad,Komal Zanzad
L Harris,L Harris,Laura Harris
L Lee,Lizelle Lee,Lizelle Lee
L Wolvaardt,Laura Wolvaardt,Laura Wolvaardt
LCN Smith,Linsey Claire Neale Smith,Linsey Smith
LK Bell,Lauren Katie Bell,Lauren Bell
LK Hamilton,LK Hamilton,Lucy Hamilton
LMM Tahuhu,Lea-Marie Maureen Tahuhu,Lea Tahuhu
M Joshi,Mansi Joshi,Mansi Joshi
M Kapp,Marizanne Kapp,Marizanne Kapp
M Mani,Minnu Mani,Minnu Mani
MC Patel,Monica Chhelaram Patel,Monica Patel
ML Schutt,Megan Schutt,Megan Schutt
MM Lanning,Meghann Moira Lanning,Meg Lanning
MS Kashyap,Mannat Sanjeev Kashyap,Mannat Kashyap
Meghna Singh,Meghna Singh,Meghna Singh
N Kranthi Reddy,N Kranthi Reddy,Kranthi Reddy
N Shree Charani,Nallapureddy Shree Charani,Shree Charani
N de Klerk,Nadine de Klerk,Nadine de Klerk
NJ Carey,Nicola Jane Carey,Nicola Carey
NR Sciver-Brunt,Natalie Ruth Sciver-Brunt,Nat Sciver-Brunt
NS Prasad,Niki Siribhagwan Prasad,Niki Prasad
NSS Sharma,Nandani Sharma,Nandani Sharma
P Litchfield,Phoebe Litchfield,Phoebe Litchfield
P Rawat,Prema Rawat,Prema Rawat
P Vastrakar,Pooja Vastrakar,Pooja Vastrakar
PG Chopra,Parshavi Gaurav Chopra,Parshavi Chopra
PN Khemnar,Poonam Nanasaheb Khemnar,Poonam Khemnar
PP Bala,Priyanka Prankrishna Bala,Priyanka Bala
PS Sisodia,Parunika Sudhir Sisodia,Parunika Sisodia
Poonam Yadav,Poonam Yadav,Poonam Yadav
Preeti Bose,Preeti Bose,Preeti Bose
Priya Mishra,Priya Mishra,Priya Mishra
RM Ghosh,Richa Manabendra Ghosh,Richa Ghosh
RP Yadav,Radha Prakash Yadav,Radha Yadav
RS Gayakwad,Rajeshwari Shivanand Gayakwad,Rajeshwari Gayakwad
Raghvi Bist,Raghvi Anand Bist,Raghvi Bist
Rahila Firdous,Rahila Firdous,Rahila Firdous
Renuka Singh,Renuka Singh Thakur,Renuka Singh
S Asha,Asha Sobhana,Asha Sobhana
S Ecclestone,Sophie Ecclestone,Sophie Ecclestone
S Gupta,Sanskriti Gupta,Sanskriti Gupta
S Ishaque,Saika Ishaque,Saika Ishaque
S Ismail,Shabnim Ismail,Shabnim Ismail
S Mandhana,Smriti Shriniwas Mandhana,Smriti Mandhana
S Meghana,Sabbhineni Meghana,Sabbhineni Meghana
S Molineux,Sophie Molineux,Sophie Molineux
S Pandey,Shikha Subas Pandey,Shikha Pandey
S Rana,Sneh Rana,Sneh Rana
S Sajana,Sajeevan Sajana,Sajeevan Sajana
S Sehrawat,Shweta Sehrawat,Shweta Sehrawat
S Verma,Sushma Verma Devi,Sushma Verma
SB Keerthana,Sathyamoorthy Balakrishnan Keerthana,Sathyamoorthy Keerthana
SB Pokharkar,Shradda Bhau Pokharkar,Shradda Pokharkar
SD Bahadur,Simran Dil Bahadur,Simran Bahadur
SFM Devine,Sophie Frances Monique Devine,Sophie Devine
SG Satghare,Sayali Ganesh Satghare,Sayali Satghare
SIR Dunkley,Sophia Ivy Rose Dunkley,Sophia Dunkley
SJ Bryce,Sarah Jennifer Bryce,Sarah Bryce
SM Shakil,Shabnam Md Shakil,Shabnam Shakil
SR Giri,SR Giri,Shipra Giri
SR Patil,Shreyanka Patil,Shreyanka Patil
SS Pawar,Sahana Shamsunder Pawar,Sahana Pawar
SV Yashasri,Soppadhandi Venugopal Yashasri,Soppadhandi Yashasri
SZ Thakor,Saima Zakirhussain Thakor,Saima Thakor
Shafali Verma,Shafali Verma,Shafali Verma
Shivani Singh,Shivani Singh,Shivani Singh
Simran Shaikh,Simran Banu Shaikh,Simran Shaikh
T Bhatia,Taniya Bhatia,Taniya Bhatia
T Vasistha,T Vasistha,Triveni Vasistha
TG Norris,Tara G Norris,Tara Norris
TM McGrath,Tahlia May McGrath,Tahlia McGrath
TN Pathan,Tarannum Nasirkhan Pathan,Tarannum Pathan
TP Kanwar,Tanuja P Kanwar,Tanuja Kanwar
TR Sadhu,Titas Ranadeep Sadhu,Titas Sadhu
U Chetry,Uma Chetry,Uma Chetry
V Krishnamurthy,Veda Krishnamurthy,Veda Krishnamurthy
VJ Joshitha,VJ Joshitha,VJ Joshitha
Vaishnavi Sharma,Vaishnavi Sharma,Vaishnavi Sharma
YH Bhatia,Yastika Harish Bhatia,Yastika Bhatia
